file_name;speed_profile
10Radar_14-18_10_2019;51.355694149830256,52.44987943381126,53.127146564127024,53.46377188694042,53.53603174841433,53.42020249471162,53.19256047199504,53.03799187770538,52.97888954820692,52.859920080388015,52.60228974132451,52.81647657804764,53.169496057552344,53.44790500890727,54.26527968141142,54.58391065145482,54.68077060703841,54.55645517091848,54.69384177400282,54.485225619851505,54.449312011740176,54.032873833663984,53.12782591613269,52.51170092424683,51.5131821192107,49.40795166761079,47.35228194465966,44.411718321274535,41.0945094322702,37.53447599513146,34.38436116876025,31.746155583468436,29.74700995307134,28.609999275259643,28.216546086802133,29.01281375799726,30.836516756927274,32.98486186892558,35.80679692526233,38.455028442752095,40.63719661959675,42.69101579413813,43.72790857605695,44.01776154783523,43.55184504601034,43.20969723075069,42.612693310673876,42.184753750041494,41.9179623438175,42.01651577645753,41.6775720392525,41.684454117772674,41.81795568264393,42.07866854193136,42.101936120653534,42.08043408873443,42.535477046655544,43.08083748587707,42.66262788771486,41.487846500055795,39.567891445559745,37.58905231381826,34.85495273037917,32.48290677863603,30.47236110800271,29.24441539236143,28.89022632119401,29.519465316603558,31.77813824059713,34.03098542288203,35.87628227419141,37.898535123887896,39.61782764723904,41.047741737953814,41.89939832626313,42.3101393073338,42.60126773612723,42.95438369221746,43.40042086351416,44.166010934789725,45.135639952500625,45.79869867254915,46.37482608335498,47.07217085890595,47.64931126451912,48.05887609470557,48.45813176504004,48.6245253535336,48.811320634436484,49.201538931149656,49.600189161481886,49.958735242133656,50.24519978472736,50.4276054008853,50.473974702229754,50.352330300383
10Radar_21-25_10_2019;52.57451933114893,52.43022403631499,52.34180561841029,52.308066710846205,52.3278099470341,52.399837960385334,52.52295338431116,52.8928547208575,53.03345437945252,53.18139920085942,53.38947084128043,53.68548895564012,53.93710232751583,54.059965231459145,54.31490589322409,54.344662310560935,54.51742529902229,54.390882251850435,53.831964451221346,53.72506626307257,53.45237299785802,53.151359725843065,52.57921970271252,51.82568810720976,51.17114874448984,49.680505619869706,47.216573479735416,44.20660565972379,40.93879720443374,37.93029815274693,35.02433803522018,31.05056212620208,29.28069592610977,29.460255513146496,31.145573910995573,34.04039348685843,37.95392090177287,41.58825427574886,44.82350715481595,48.213859642847886,50.77542918331866,51.840051742552156,51.12507066973158,48.37429311646948,47.50401258160187,46.13276631056512,44.33604045771776,42.83168363528862,41.67316482310507,40.95639509852182,40.662148618014214,40.91581368050012,41.01120252572001,41.234787137906025,41.81498202680051,42.231768139702176,42.89204160759763,42.99331770683578,42.14512707502436,41.23923517369416,39.95657329423285,38.23835386089552,36.12180908920008,34.19100884442411,32.57529489111675,31.737940182539255,31.28593781181516,31.666815224542972,32.861187533913196,34.7444341141061,36.16532107718674,37.743617256830746,39.31451086243379,40.56924094244603,41.48581397803961,42.33626121468533,42.92653791794996,43.44492045032109,43.93577933848947,44.79293107957529,45.510974555032504,46.36823485377498,46.90052963716021,47.29530726001954,47.659677136534725,47.96295956086456,48.16539219373027,48.26839722591279,48.52032577476623,49.0119935989069,49.50700509048017,49.97210113999631,50.36295179047554,50.635227084938,50.744597066403834,50.646731777893166
10Radar_30_9-4_10_2019;51.84076824493189,51.34090243933139,51.187884204198056,51.29950114385185,51.59354086261269,51.98779096480053,52.40003905473519,52.45945423743417,52.15091171166577,52.379583269049434,52.179237778150394,51.97029956619686,52.39369470474817,52.0172991713293,52.209872540909274,52.70302643505246,52.89876608841697,53.35311272457621,53.93835216877946,53.65944281894362,53.121266443571514,52.93527649167821,52.11561090609681,51.598615461435585,51.139354875851296,49.49507987459175,47.3024254074147,44.67009551169403,41.41181128195344,38.434912008718655,35.2406090500877,32.032037164901645,30.07762716959455,29.788042803660545,29.565494407762802,30.073058195578113,31.38010403051526,33.1289317376714,34.62883498231321,36.75578752959517,38.475751392486146,40.05398337604966,40.88124958372216,41.45931876773897,42.381909795669856,43.06146320632271,42.61600462993321,42.30265474149537,42.37242071408728,42.14947504108871,42.0369903580535,42.17595462480446,41.9720516266977,41.96081210637574,41.71809743286944,41.659877535099106,41.97027998729479,42.06557021168811,41.312217791705486,40.40224586976961,38.97797759218206,37.19402254502054,35.22270341032151,33.25067392411061,31.526484732568207,30.705308635918158,30.52281877203807,31.13377186711989,32.821217584197605,34.46113648463219,35.92280220373015,37.825082064846185,39.30304238409515,40.3801103458203,40.87027151559953,41.10991045666362,41.43569037688343,41.85517871837516,42.085192248378064,42.512206963322356,43.16467814173981,43.86604125645161,44.694153958650794,45.4495444552293,46.078184597238256,46.809757688983666,47.46675547499996,47.80563867504182,48.314366451089676,48.9507893119392,49.404653183936894,49.795985338169125,50.117838781091734,50.36326651916044,50.52532155883096,50.59705690655901
10Radar_7-11_10_2019;51.993103295568076,52.344135168855146,52.56523349964703,52.69206878243219,52.76031151169909,52.805632181936225,52.86370128763191,53.03824929449155,53.55473476204608,54.127628829756866,54.46155777667343,54.20240892717246,54.088688451045236,53.99282652646178,53.62168193650811,52.88249524243793,51.05738142699917,49.581408572570496,48.77560889612478,48.36821940730013,48.60861698545953,49.23709212157938,49.24267216944602,49.26064498657724,49.763736642243856,49.78422567787399,47.772801922450896,45.06893493990043,41.108941812762694,37.65294515709873,34.62663326846796,30.57119377873257,28.7457850176718,28.977698425431313,30.669530194071452,33.89063950918157,38.032062729071576,41.95684577302333,45.114063229651975,48.90373786655302,51.14600932562163,52.13955852130772,51.5438922774383,49.184521156326795,48.2099115586231,47.31707516109802,46.395815655408974,45.281230027417735,44.64445324833197,43.971560818583924,43.769113644274654,44.38087597902107,44.19033989236055,44.42121164046374,44.34434547296773,44.12971816413414,44.39430967595781,44.82610568306604,44.573792758260545,43.982081612283245,43.14803427747191,41.66883882260939,40.374935572609665,39.09192421979682,37.81917070262728,36.96941804983823,36.30480400157063,36.117759025489505,37.13253630560958,38.66329176649973,39.92178601438849,41.41576916366212,42.59803415732422,43.55240640387487,44.42721536943061,44.85862743051136,45.20544995797791,45.4312417209721,45.73457042162122,46.192348055527034,46.95342459190381,47.786252770217075,48.40597490593156,49.04168830632306,49.481786521874746,49.67901595441421,50.01970839125729,50.20541457786192,50.31863731455425,50.61634282321582,50.958591866935265,51.23094371472917,51.38361033121444,51.36680368100783,51.13073572872612,50.62561843898608
12Radar_16-21_12_2019;52.77537998968532,53.052112063212846,53.11575735403029,53.03062288427014,52.86101567606483,52.671242751546835,52.52561113284847,52.81709628308471,53.57461115280243,53.863828039322925,53.828330118474874,53.65675383682091,53.28965723070222,52.57757310065158,52.05233889027116,51.32299262036367,50.62843025866297,49.9636821215767,49.448160535116905,49.716599190283254,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,50.91621754042121,51.173133208255,50.36511161848179,48.8533873697116,46.92842075959748,44.235915412744305,41.73251651754558,39.188372324932686,36.93278750635484,34.80606320393976,33.79533175800225,33.39348080477674,34.294831891610315,34.80817308244304,35.29226077094391,35.79559700090155,35.89127803892853,35.78682221797562,36.08228094482883,36.21998244275345,36.28907629624587,35.67726880255803,35.25438969649025,34.68278528391195,33.839838082026624,33.432055931826824,32.732355529738854,31.65453241074654,30.254054933280578,29.960526416435563,29.742219366220546,29.86114317614794,30.274644757601884,31.108096886091086,32.839837380169826,35.1513080268516,37.07873704951173,39.281118403807746,40.595000560027316,41.64405269997154,42.36756892880683,43.25395666679902,43.18590961270512,42.954826780244495,42.93694164142791,43.30003495493336,44.00953051447678,44.627140759281104,45.15213511728296,45.80675366683177,46.27394126906273,46.96905893335075,47.665149454462636,48.18850395787461,48.553263081414684,49.06162013138298,49.50982377580044,49.88020827295989,50.14981073759309,50.29566828443171,50.2948180282074,50.12429708365182
12Radar_23-28_12_2019;49.99999999999999,49.999999999999986,49.99999999999998,49.99999999999998,49.99999999999998,49.99999999999998,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,50.50699300699285,50.257416644788506,49.890923139586086,49.14325866652971,48.706655896440424,48.004627501949905,47.463571618251585,47.130737487530396,47.06256787250585,46.95882907758826,46.85578140986361,46.99643387853987,47.63620034599296,47.852255904934324,47.28838974210265,45.968394323345784,45.22788100531722,44.6019357577917,44.37857679554604,44.533403804885864,45.08717471351005,45.716388264849314,46.47272262509235,47.59741513272857,49.15183793231232,50.29812455803264,50.21958610755739,49.76120889632365,49.82668938646502,49.22105169156429,47.869960533858745,46.442243346163394,44.43426928914149,42.73054015459412,41.406829631335846,40.890934335772585,41.05749003709953,41.49469913939648,42.53739114180532,43.70760752514519,45.31930295938131,46.393983264934775,47.15197830561541,47.538602173388796,47.429689794949596,47.598859769837475,47.90761449408771,48.23235556107929,48.487808858202214,48.50256295111454,48.43519985737234,48.694566623783444,49.02003749059506,49.35952849216257,49.504852003834145,49.75860839848389,50.122391676950684,50.42928668817987,50.63090012909039,50.67883869660108,50.52470908763076,50.120117999098255
12Radar_30_12_2019-4_1_2020;50.689916801547525,52.06396782631479,52.97415499805449,53.47755555795414,53.63124674720124,53.49230580698329,53.11780997848766,52.5428182303825,51.8270332474917,51.03645619283134,50.629760968257145,50.09375380032943,50.040688047584446,49.612687312687164,49.34138275517571,49.74230769230754,50.318681318681165,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,50.32091346153831,50.32102494661721,50.056094490187085,49.60801601675576,48.9839315773688,48.27062455057873,47.624438776282055,46.97370725334286,46.24809763959368,45.59722718482206,45.22696902552898,44.747580438452296,44.575361618021915,44.353693134281045,44.019862894316496,43.82766299448165,43.5428600069103,43.6281090020358,44.02439874488257,44.372451228566945,44.78522527530297,45.264902542295474,45.538538897874645,45.828070111256935,45.89465453871126,45.78201516024793,45.34100289320173,45.15801046515991,44.955587642116924,44.337925297841025,43.49605506055287,43.0195242052559,42.718082874638164,42.64698889136796,42.780243269088096,43.46140443256988,43.81127650762021,44.323070123853824,45.138061044088055,46.1369555322864,46.77421640220554,46.69806790488468,46.718475328642235,47.11474680155756,47.33848472488751,47.644552614855144,48.00091302360983,48.39362105085184,48.75955916479422,49.2465693764921,49.672360341677916,49.942921098059,50.01536973671517,50.184843051265105,50.39704765604685,50.55984646719287,50.67158071903797,50.717336280407714,50.682199020127584,50.55125480702303,50.30958950991951
12Radar_9-14_12_2019;53.48710351316824,52.08469924042236,51.071274998293596,50.39011964078509,49.98452202189998,49.79777099564141,49.77315541601241,49.715719063545,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,50.979467900520376,50.59779782841398,49.851854971408976,48.89846533675969,47.265165191407334,45.62215219864577,44.23267117564328,43.31051556054942,42.19118656796082,40.91269378719882,40.18522645384348,40.311203398654854,41.260846371267846,40.49049414293326,40.56591645453036,39.98973567567085,39.297825779414936,39.41089503427867,39.79807382059555,40.6809985774548,40.97133102347124,40.34132537977642,40.28620480547068,40.311474935323815,39.46863450199732,37.90318338961372,36.36160280552502,34.13158791856538,32.372018024789256,30.830134953418487,29.528789769113665,28.781787427065908,27.623021262511024,26.54336405373124,26.814911976970564,28.39560115539277,28.905849229035425,30.32718429692062,32.055493299776586,34.34712006498134,36.68702463495975,38.9079667392378,41.0602454820442,42.797996614515384,44.03727825713705,45.44180539717193,46.83272630014849,48.09581249438317,47.72905671637695,48.00524964500848,47.89190679726029,48.17219487843234,48.07515398722472,48.209549737301444,48.17664356798558,48.73841056179184,49.32708468353859,49.90112043380187,50.394314080141065,50.7404618901154,50.873360131284095,50.726805071206385
3Radar_Raw_14-18_3_2019;50.19314835223365,49.990913694490196,49.99254458869698,50.15425939270508,50.43227646436557,50.78281416152954,51.162090842047924,51.27469182309747,51.44386943477322,51.86489120235231,52.239269539608614,52.49608882052965,52.65882837506328,53.10313228253234,53.40699568276929,53.629368707004204,53.69760024270339,53.813805634205096,53.46316241650145,53.11023170055736,52.93266529561498,53.05241627097049,53.0627089105209,52.55814573543421,52.1880857998471,50.97437146383534,49.19057527391929,46.63446547792276,43.513421193678525,40.49175993893235,37.58335214923677,35.75388310368807,34.45699001189794,33.940317639062634,34.068436739181976,34.36615276636078,35.725727737442625,36.876862338855815,38.55741061908007,39.66374208301137,40.69726774623044,41.72020396716561,42.547318732299104,43.344352665685285,43.3905887984785,43.52225920027888,43.092323300101,42.46811594344436,42.47883199651186,42.44650428201777,42.64152938157275,42.678756762307344,43.03421681812005,43.30421606248777,43.695192672635464,44.11236142572811,44.601589280337826,45.14278891667142,44.52407749805101,44.130560304017585,43.204389889623016,41.70957996331972,40.05095840988598,38.590319884478454,37.77543720765301,37.454375186949584,37.9045437798713,38.92962328119693,40.42790211572849,42.01263628018908,43.054880718155786,43.9881865823595,44.26797416597008,44.308110543817484,44.289105822109725,44.30548867148624,44.41184902450957,44.59918993706551,44.97215928166736,45.587086177193065,46.06745628618916,46.507482781979576,46.71083625303503,46.795203160931365,46.88430993735472,47.20076076949496,47.416472950101245,47.72306046489093,48.017002756150916,48.58316135263793,49.263312945986556,49.89183734590788,50.39257520717871,50.68936718457572,50.70605393287562,50.36647610685508
4Radar_Raw_1-2_4_2019;51.82244784234704,52.196487025058445,52.2762322059787,52.12372478391035,51.801006157655905,51.37011772601793,50.89310088779881,50.11731682542026,49.97238341832462,50.40060493087499,50.922995986878334,51.181359841407826,52.343405043815956,53.49599004107601,54.965825739861025,55.08229013224488,54.609841395159066,54.88216793041195,54.02225959655818,52.689892456519274,52.160339387349225,50.75250737910381,47.98730306961271,44.6214542825759,41.35462023086587,37.938664143175814,34.60830306560499,31.781544612539395,29.646544096122653,29.285473298697333,29.978309007731394,31.610223500359623,34.244385021808185,36.61512484444563,38.69145404295219,40.51473352930468,42.05006695623814,43.484779315935135,43.41046478751524,43.03085948472366,42.83630757664457,42.899428919889004,42.76838698156171,42.38704390313401,42.31284077882668,42.58001474553311,42.414226597970575,42.25076483234984,42.33565345719439,42.82679079427303,42.49629305393849,42.709706847599925,43.62402847595087,44.019117105543245,43.14744978996643,42.018342458567325,40.5938992004391,38.69641826048392,36.26513613226588,33.700723610165106,31.107810395058188,29.76717339745537,29.72811268471917,31.177727227352264,33.657480389121545,36.22399948591678,38.3021184906945,41.17256074316745,43.57143622596078,45.41668881537074,46.65761639601506,46.72537222508773,46.060700925654366,45.96762509397163,46.37900839061158,46.51803259141669,46.52330754250462,46.81576767007591,47.12831130402651,47.671182283029694,48.281620011001735,49.045110600738695,49.581647389485326,49.797973518899894,50.14364020422367,50.84992307908339,51.36331772100911,51.65295293707431,51.6785024412723,51.87296155793082,51.7404940839257,51.49350593184869,51.15387744887935,50.74348898219709,50.284220878981365,49.79795348641157
