file_name;speed_profile
10Radar_7-11_10_2019;51.993103295568076,52.344135168855146,52.56523349964703,52.69206878243219,52.76031151169909,52.805632181936225,52.86370128763191,53.03824929449155,53.55473476204608,54.127628829756866,54.46155777667343,54.20240892717246,54.088688451045236,53.99282652646178,53.62168193650811,52.88249524243793,51.05738142699917,49.581408572570496,48.77560889612478,48.36821940730013,48.60861698545953,49.23709212157938,49.24267216944602,49.26064498657724,49.763736642243856,49.78422567787399,47.772801922450896,45.06893493990043,41.108941812762694,37.65294515709873,34.62663326846796,30.57119377873257,28.7457850176718,28.977698425431313,30.669530194071452,33.89063950918157,38.032062729071576,41.95684577302333,45.114063229651975,48.90373786655302,51.14600932562163,52.13955852130772,51.5438922774383,49.184521156326795,48.2099115586231,47.31707516109802,46.395815655408974,45.281230027417735,44.64445324833197,43.971560818583924,43.769113644274654,44.38087597902107,44.19033989236055,44.42121164046374,44.34434547296773,44.12971816413414,44.39430967595781,44.82610568306604,44.573792758260545,43.982081612283245,43.14803427747191,41.66883882260939,40.374935572609665,39.09192421979682,37.81917070262728,36.96941804983823,36.30480400157063,36.117759025489505,37.13253630560958,38.66329176649973,39.92178601438849,41.41576916366212,42.59803415732422,43.55240640387487,44.42721536943061,44.85862743051136,45.20544995797791,45.4312417209721,45.73457042162122,46.192348055527034,46.95342459190381,47.786252770217075,48.40597490593156,49.04168830632306,49.481786521874746,49.67901595441421,50.01970839125729,50.20541457786192,50.31863731455425,50.61634282321582,50.958591866935265,51.23094371472917,51.38361033121444,51.36680368100783,51.13073572872612,50.62561843898608
11Radar_11-16_11_2019;49.99999999999999,49.999999999999986,49.99999999999998,49.99999999999998,49.99999999999998,49.99999999999998,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,51.250903458957,50.606575428661166,49.35745888129538,48.23379097199779,47.074118609399676,45.583116597298535,44.33032519674934,43.32326922110712,42.466739708432996,41.981040997492215,41.639793624745806,41.916726776290105,43.363369251345375,42.40199299680036,41.69047787369995,41.53641559493955,41.0149355518064,40.721039355525406,40.81914562443016,41.361443565971314,41.02539846345535,41.17566992824699,40.11276650269626,40.12329296874973,40.96980570369944,41.63447871359726,42.613988170782704,44.02331418880845,45.41467271052839,47.246504086064384,48.85961215406839,50.29491021798699,50.58518518518503,50.890532544378544,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999999,49.99999999999999,50.0,50.000000000000014,50.00000000000002,50.00000000000002
11Radar_18-23_11_2019;52.47590094714866,52.2487821431634,51.93531550443297,51.563983657583805,51.16326922924234,50.761654846035015,50.38762313458813,49.93771352537115,49.88195823811517,49.94117491671473,50.198813444619745,49.75137731833369,50.02898714189022,50.073846153846,49.96153846153831,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,50.490553306342626,50.47732181425471,50.10114161764723,49.27130254928678,48.457582941224516,47.51430748515252,46.468276771231764,45.5598795054629,44.33296437723338,43.550049669743636,43.085375640223305,42.906487963778645,43.03837661060922,42.63497349032127,42.24975375961855,42.01817613941038,42.43944186398741,43.053354159804115,42.62133373559227,42.37170455127365,41.93064403449544,42.30643833408416,42.324903234402676,41.85781928776779,41.09197767984687,39.7726638454509,38.258343388005,36.74338785734397,35.14023583566573,33.690404088091306,31.53087031700489,29.84547581639979,29.320267782095836,29.439588704352424,30.488511170187813,32.12289356368742,34.390476419534494,36.59586238886842,38.67026880081321,40.76605959109581,42.379129490974236,43.88342840794438,44.69582510270037,44.9669069760447,45.421949291122445,45.68450393195292,46.36356357884239,46.99647419120534,47.83112884385815,48.23390322280186,48.86514756631199,49.41036331586612,49.68700561261862,50.133963013427824,50.566748253051756,50.93056301307315,51.1698816600495,51.24412180705221,51.11270106715257,50.73503705342186,50.07054737893138
11Radar_25-30_11_2019;49.99999999999999,49.999999999999986,49.99999999999998,49.99999999999998,49.99999999999998,49.99999999999998,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,51.20760651987403,51.67131560028741,50.414512836938194,48.334040027568115,45.27125657201556,41.695929887759405,38.577412481157324,35.93397873920505,34.47565331543851,33.64581307875834,34.593740037711136,36.24199640170162,39.56698338139124,41.45657745243375,42.377409054315706,43.23072460751937,42.70796724870697,41.8255323919787,41.32620101107771,40.96874574398966,41.95501720689153,42.04686851926703,42.25206853679667,41.43124223108314,40.183748216943016,38.27799213025763,36.1547821531917,33.95235860531148,31.477751940887963,29.314535043005876,27.831689935526306,26.42470130036005,26.408193368780054,27.060819406003635,28.887948526368895,30.704901280204687,33.05111185426217,36.13419794171859,39.40557457836941,42.88203864596608,46.07244702564818,48.34707227082324,49.67615242697618,49.724372677354175,49.95521246006668,50.46577275935059,50.54308154308139,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999999,49.99999999999999,50.0,50.000000000000014,50.00000000000002,50.00000000000002
12Radar_2-7_12_2019;49.99999999999999,49.999999999999986,49.99999999999998,49.99999999999998,49.99999999999998,49.99999999999998,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,50.68907563025195,50.61208995845852,50.03071003903291,48.93971542032285,47.77274341018598,46.552690908224356,45.320684366260636,44.66581096912569,43.672663405886155,43.14237099616987,42.65299255041565,42.71191392625961,43.33539534853193,43.304610272874555,43.16487302528685,42.907260786541286,43.112364514620545,42.776283454625855,43.178570730003955,43.70106976389309,43.62259871811709,43.61128397163391,42.49468487091836,41.16209970722934,39.35560349194967,37.365769429638,34.99211754335932,31.241167379935916,29.452606774067256,29.02708179800309,30.875487735580855,33.628255169711906,37.32512435176211,41.25656811099494,44.77945287362289,47.99920696971296,50.35929333024375,51.65168539325827,51.561318681318525,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999999,49.99999999999999,50.0,50.000000000000014,50.00000000000002,50.00000000000002
3Radar_Raw_25_3_2019;47.72599609544392,50.031701387511205,51.39195654691313,51.97680628776193,51.95629532416983,51.50046837024908,50.77937014011179,50.05213273886027,49.41283320310339,49.13729104903179,49.87287265141501,50.416352203801445,51.4807167191781,52.234272250466425,52.79678526601588,52.80253213898682,53.97157978773347,54.20615945926966,53.345079012403275,53.437618907686485,53.41147507702631,53.672046002584,53.979313682861985,53.68904639794716,53.186887723296245,51.11043317828408,47.92921894964666,44.52919317260971,41.21241136027939,37.21618238640009,33.47467622622614,30.530023919874424,28.95659593208358,29.140803594705694,30.64547334711964,33.30912845063,36.46864768411901,39.32545141692664,41.21619359741396,42.905265489713784,43.95767077322069,44.294210557819696,43.73366473376652,43.3224485833513,43.1918524106522,43.34751927332869,43.714238463626714,43.95287036231194,44.11612672561596,44.72403749744207,44.05759606773324,43.55309457488301,43.2606267918308,43.11096571744762,42.969853989669225,43.17319542496313,43.08970448273815,42.931868550172496,42.72068014281918,41.50610915246004,39.76182371778329,37.87803617086751,35.31012236485321,32.90769197334926,30.32310645747452,28.247391613855974,27.72658809911291,28.4998675463416,30.387773719596368,33.033166426802694,35.35018328189608,36.890486048559765,38.26481814643533,39.48191483259527,40.20768742859825,40.0698173647187,38.667655952058126,37.99272579936655,38.01037885598029,38.64372598533227,39.821305085438674,40.94850842761012,41.160925092023035,41.502392656434836,42.41447709188954,42.347242870630225,42.33892896997152,41.80667668400929,41.6140827117961,41.62805108484679,41.83593042665842,42.38919785802995,43.37906552124264,44.89674555857764,47.03345011231611,49.88039132473919
3Radar_Raw_27_3_2019;53.100484039769725,51.51237746380601,50.43730253873109,49.792263926549616,49.494266289266264,49.4603142888857,49.60741258741243,49.69474969474954,50.22222222222207,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,51.57952573742032,51.63146609488057,50.38112229875373,47.95119833079082,44.819721455600245,41.28813974251808,36.799465322839495,33.097656108747955,31.03655188206116,30.004970167307683,30.44881361640453,32.45098707868344,36.35991455720455,38.56499188218852,40.54993168886545,42.25983856942313,43.393294395930084,43.776567119381156,43.32062615577172,43.349896953595014,43.78865281709246,43.910592163684925,44.10053697870345,43.77941196462769,43.16454219773289,42.60004435407845,42.20040349138371,42.052833029554556,41.84229734174297,41.861497641207826,42.14127818743425,42.42651163026193,43.46944425469593,44.60356856630891,42.8094964596711,41.35809044255386,40.54317461561146,40.62248122032879,41.11924961330054,42.12787388560467,43.51552930037265,45.24957370658527,47.22135601355831,49.228769929046244,51.09199048374291,51.6503496503495,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999999,49.99999999999999,50.0,50.000000000000014,50.00000000000002,50.00000000000002
3Radar_Raw_28_3_2019;52.03942925210884,51.60950120813175,51.18029695313942,50.76782595347833,50.38809767549499,50.0571215855359,49.790907149947444,49.45049783740928,49.27190117574718,49.72189349112411,50.450549450549296,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,51.17437546376438,51.47537168713624,50.67747125056629,48.413777899800074,44.27156846746584,42.3301468938301,39.88565293657106,37.859596523887625,35.97697116839872,35.30361098025283,35.53869961420936,37.159296718050115,39.986465728104825,41.5726130550948,42.51510788353177,42.43757347922329,42.075277288293876,43.84335847739093,44.07929687461855,44.20023933727943,43.831944769194486,43.895662664010864,43.785434530030415,43.92888956839974,43.71813669895437,43.41668773016433,43.26147106744125,43.15201277012301,43.35481609507878,43.74212628736861,43.42588702924572,43.419634055228265,43.00623256245424,42.154442375094014,40.55617518257313,38.543767897955725,35.817781006233176,33.479372191554134,32.256180267076665,31.855648663512692,32.48244984309702,34.10956734844211,35.85931008619758,38.682639059247386,41.09072374852054,42.59566064232883,43.15166278427869,43.20951651791365,42.807624593963844,42.50592056214201,42.64976858436054,42.72168247378013,43.209512552881094,44.12770584422297,44.97417377433319,45.94492759965518,46.95579734933457,47.19022905430229,47.39092318252034,47.508487168388626,47.7384803228569,47.60496669645831,47.9751040654843,48.31947716003508,48.856099183532194,49.39126851601602,49.869292735844475,50.234479421375354,50.431136150966445,50.403570502975526
3Radar_Raw_29_3_2019;49.99999999999999,49.999999999999986,49.99999999999998,49.99999999999998,49.99999999999998,49.99999999999998,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,49.99999999999985,51.136446886446734,51.52313024929994,50.663653968981684,48.66150488383233,45.778898131019055,41.80604943400841,38.32814732328194,35.522011076674104,33.43956144734424,32.46262568502132,32.902297996280254,34.80860942712001,38.58363058430767,41.04512291884017,42.96852494605942,44.09694325055236,43.97767690336953,43.29756182858944,42.97331264288289,42.688061780088454,42.05545674543879,41.5288698867618,41.439336104541724,42.070941819501435,42.15913568682715,41.933257180599284,41.47415473568889,41.33131975044025,40.795929623815894,40.2843467393689,40.063052941542594,40.683648147882685,40.07211228725083,39.28755900090034,38.88317407288439,38.26555299766115,36.14084215400737,33.37613185447968,31.616584004022123,31.338679202905865,31.646007107255954,32.597617687648274,35.158373286623856,38.23893750166165,40.400468941727,42.62690396805933,44.52391513672137,45.14818690776404,44.664121821972714,43.90704706300292,44.11388631986702,44.20508929094521,44.34190798642835,44.67123633807067,45.4043261633263,45.71715465336952,45.66267023690358,45.79758402738427,45.975090846323496,46.08441649655066,46.288009574157684,46.65882791586619,46.954653179035844,47.28022338042409,47.66607164832607,48.05931174853579,48.45050876750677,48.83022779169241,49.1890339075461,49.51749220152125
4Radar_Raw_1-2_4_2019;51.82244784234704,52.196487025058445,52.2762322059787,52.12372478391035,51.801006157655905,51.37011772601793,50.89310088779881,50.11731682542026,49.97238341832462,50.40060493087499,50.922995986878334,51.181359841407826,52.343405043815956,53.49599004107601,54.965825739861025,55.08229013224488,54.609841395159066,54.88216793041195,54.02225959655818,52.689892456519274,52.160339387349225,50.75250737910381,47.98730306961271,44.6214542825759,41.35462023086587,37.938664143175814,34.60830306560499,31.781544612539395,29.646544096122653,29.285473298697333,29.978309007731394,31.610223500359623,34.244385021808185,36.61512484444563,38.69145404295219,40.51473352930468,42.05006695623814,43.484779315935135,43.41046478751524,43.03085948472366,42.83630757664457,42.899428919889004,42.76838698156171,42.38704390313401,42.31284077882668,42.58001474553311,42.414226597970575,42.25076483234984,42.33565345719439,42.82679079427303,42.49629305393849,42.709706847599925,43.62402847595087,44.019117105543245,43.14744978996643,42.018342458567325,40.5938992004391,38.69641826048392,36.26513613226588,33.700723610165106,31.107810395058188,29.76717339745537,29.72811268471917,31.177727227352264,33.657480389121545,36.22399948591678,38.3021184906945,41.17256074316745,43.57143622596078,45.41668881537074,46.65761639601506,46.72537222508773,46.060700925654366,45.96762509397163,46.37900839061158,46.51803259141669,46.52330754250462,46.81576767007591,47.12831130402651,47.671182283029694,48.281620011001735,49.045110600738695,49.581647389485326,49.797973518899894,50.14364020422367,50.84992307908339,51.36331772100911,51.65295293707431,51.6785024412723,51.87296155793082,51.7404940839257,51.49350593184869,51.15387744887935,50.74348898219709,50.284220878981365,49.79795348641157
