file_name;speed_profile
1Radar_13-18_1_2020;52.60606060606061,49.23076923076923,51.041666666666664,54.7962962962963,50.83783783783784,53.02777777777778,54.8125,50.53333333333333,51.68421052631579,51.19230769230769,49.666666666666664,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,46.1578947368421,43.718867924528304,41.03162055335969,44.97148288973384,43.540650406504064,41.3547794117647,39.061338289962826,44.505330490405115,42.734848484848484,42.38740458015267,43.81985294117647,43.96443812233286,45.2262996941896,44.03838582677165,44.1195219123506,44.7079556898288,44.44621513944223,45.546571136131014,43.69886363636363,42.34059945504087,40.473958333333336,31.499565595134666,30.405719392314566,31.808184143222505,28.593406593406595,28.9787610619469,27.314345991561183,38.14620938628159,38.309653916211296,31.993987975951903,41.04989604989605,44.556650246305416,43.325581395348834,45.421836228287845,44.05679012345679,45.18062827225131,44.47179487179487,45.598404255319146,45.293956043956044,45.86503067484663,48.147260273972606,48.801587301587304,50.09016393442623,47.266331658291456,48.9163179916318,49.195238095238096,49.252808988764045,52.220238095238095,49.613756613756614,50.27710843373494,52.16129032258065,51.4537037037037,52.18333333333333,50.772277227722775,50
1Radar_20-25_1_2020;53.671052631578945,52.16,48.2972972972973,51.357142857142854,50.629629629629626,50.72,54.63157894736842,51.3,52.5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,41.68621236133122,43.783185840707965,45.21187427240978,42.2448347107438,44.306102362204726,45.46331658291457,45.12376237623762,43.49334221038615,42.49664429530201,41.746818486269255,44.11661016949152,43.7366568914956,43.52775119617225,42.38586156111929,43.55916585838991,43.74986723313861,44.14165844027641,44.44743524631793,43.125062531265634,43.49141072358147,42.16980221900627,40.75591985428051,39.9355135882082,35.202391496899914,31.255555555555556,33.91104157353598,30.12367491166078,31.459122401847576,31.84483579247977,32.859856262833674,33.07696307852314,37.37948430493274,39.027624309392266,42.28482972136223,42.46462829736211,45.11291413116971,43.65293383270912,44.89060402684564,44.57473544973545,45.71011396011396,46.62023460410557,46.332043343653254,46.95273631840796,48.93410507569011,48.915607985480946,49.27649325626204,48.60501567398119,48.46648426812585,48.306376360808706,49.47145488029466,50.04554455445545,49.55263157894737,51.71198156682028,52.157303370786515,52.37960339943343,49.89377289377289,50
1Radar_27_1-1_2_2020;52.15942028985507,52.87719298245614,51.535714285714285,51.27906976744186,51.266666666666666,52.66,55.94736842105263,55.074074074074076,51.75,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,42.86099290780142,40.93714821763602,45.016425120772944,43.26320667284523,42.203367003367006,44.43070652173913,45.47615708274895,44.048615800135046,45.06438896189225,42.79903381642512,44.02516033547114,42.30330788804071,43.97073412698413,42.07934204160619,42.027370478983386,43.756783423778984,43.8390918065153,43.511957052220595,43.95017614494213,44.98254364089775,44.522869022869024,43.761787819253435,43.31545741324921,41.171159029649594,34.177787343951785,33.151356993736954,34.522344747533374,30.587134502923977,31.73468137254902,33.579427083333336,34.1184012066365,37.9538784067086,41.94028230184582,43.82441113490364,44.29609793420046,44.282051282051285,44.51602300739523,43.28333333333333,44.211304347826086,44.98892674616695,44.67210300429185,45.14094558429973,45.967441860465115,46.55097613882863,47.97153024911032,48.00595947556615,47.86440677966102,48.042857142857144,47.570332480818415,48.27514792899408,48.08955223880597,48.507625272331154,47.5011655011655,48.839142091152816,48.24641833810888,51.55067567567568,49.40689655172414,50
1Radar_6-11_1_2020;52.69288389513109,53.795,53.21383647798742,52.94444444444444,54.84313725490196,53.83720930232558,52.671052631578945,54.49122807017544,53.608695652173914,51.785714285714285,53.53333333333333,55.78947368421053,59.857142857142854,53.411764705882355,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,46.43089430894309,46.190890481064486,45.819265143992055,46.459514170040485,47.48619957537155,46.69330024813896,46.40407554671968,45.57897359242651,45.89010989010989,46.528888888888886,46.50192307692308,46.59473150962513,41.706947162426616,45.88188608776844,45.52147239263804,46.60459433040078,46.07989417989418,45.63243243243243,45.911530815109344,44.69203382287495,45.05973552211582,41.40134340890008,41.590538336052205,37.554697554697555,34.819559228650135,40.1335,39.329734592892486,43.37641211025757,44.34195550957062,45.066058002148225,45.98735632183908,46.54860267314702,46.828402366863905,45.39388379204893,47.92536369386464,47.63143989431968,47.156061620897525,47.61538461538461,48.54545454545455,47.9663323782235,49.39467110741049,49.61009174311926,49.70126353790614,50.20398912058024,50.375247524752474,51.2,50.923166472642606,52.09860935524652,51.00686813186813,50.7748031496063,51.61965134706814,51.231046931407946,50.834070796460175,52.50437317784257,50
2Radar_10-15_2_2020;51.59349593495935,50.40196078431372,53.64705882352941,54.53086419753087,49.92063492063492,52.68421052631579,51.763636363636365,51.11764705882353,52.86274509803921,52.766666666666666,56.5625,52.421052631578945,55.57142857142857,39.0,48.25,52.2,47.26315789473684,47.333333333333336,50.142857142857146,46.83870967741935,46.529411764705884,44.404761904761905,44.828125,45.92156862745098,40.088,41.04477611940298,39.4272997032641,41.44761904761905,50,50,50,50,50,50,50,50,40.38095238095238,40.07345739471107,40.24904214559387,41.04962546816479,43.49013499480789,42.17929562433298,43.64985163204748,45.1281679942071,42.446985446985444,45.22445695897024,44.408666100254884,41.135625,45.66491841491842,44.424362357080035,44.342637540453076,43.49233128834356,45.60939381774388,42.36471488710295,43.74210931485758,44.53410914927769,45.22767497988737,45.972972972972975,45.35118807893677,44.60092987214258,42.99283002952341,40.13178294573643,34.52310325156874,31.80443433769187,31.013628620102214,30.96814903846154,29.914091470951792,31.04130702836005,32.10979413599501,30.222003929273086,31.360667129951356,36.8255033557047,39.84982935153584,39.71275327771156,41.80295566502463,41.72727272727273,42.53431372549019,43.03405221339387,44.717223650385606,45.41623711340206,46.53566229985444,47.982731554160125,47.747252747252745,48.047872340425535,47.73299319727891,48.05667276051188,48.81976744186046,46.63979416809605,49.360986547085204,48.219730941704036,49.33150684931507,48.10576923076923,49.945205479452056,49.20521172638436,50.523809523809526,50
2Radar_17-22_2_2020;52.1027027027027,54.11797752808989,53.280701754385966,53.86524822695036,51.21238938053097,53.75757575757576,54.28735632183908,52.41269841269841,54.72222222222222,50.96666666666667,54.4,55.05714285714286,49.5,53.03448275862069,51.516129032258064,54.189189189189186,54.48076923076923,53.733333333333334,52.98039215686274,50.83870967741935,51.981818181818184,53.78260869565217,54.198581560283685,52.08585858585859,50.83474576271186,51.78740157480315,48.61196319018405,48.077951002227174,44.53701875616979,38.586879432624116,32.03742384682332,31.718344155844157,31.589424572317263,34.68185726569217,36.36003236245955,34.905451448040886,42.49551166965889,43.59911406423034,42.94831789371039,44.08584337349398,44.3555,46.105450840550176,44.26204523107178,45.00420831141504,45.0207336523126,44.719858156028366,43.4449975111996,40.57122302158273,42.52817955112219,45.59607645875251,43.25037037037037,43.23839157491623,44.09023301933565,43.60428073668492,44.18253576714356,42.82332506203474,45.282630522088354,45.729209979209976,44.556352459016395,43.233333333333334,42.35595505617977,41.439046333783175,39.38530927835052,34.30021881838074,33.8275439313445,28.95673076923077,31.15559599636033,33.382241215574545,37.285846438482885,39.97866937531742,42.259356879283075,42.9496644295302,44.769423558897245,43.69115890083632,44.65021861336665,43.799512492382696,43.78648974668275,45.37913486005089,46.23415610406938,45.392405063291136,46.55902004454343,47.691189050470484,48.27713178294574,48.466990291262135,47.6688995215311,47.67172675521822,48.70181405895691,48.469505178365935,48.20284697508897,49.91967871485944,50.099567099567096,50.36024844720497,51.459715639810426,50.38979118329466,52.0390243902439,50
2Radar_24-29_2_2020;48.220338983050844,51.285714285714285,52.706896551724135,52.471698113207545,47.484848484848484,45.714285714285715,44.7027027027027,44.65384615384615,38.77272727272727,47.148148148148145,43.86363636363637,34.55555555555556,34.42857142857143,53.666666666666664,52.77777777777778,48.125,52.5,45.142857142857146,51.51724137931034,51.86666666666667,42.172413793103445,48.326530612244895,47.666666666666664,47.83495145631068,46.47863247863248,50.231155778894475,46.887573964497044,46.08735632183908,44.321862348178136,42.15675675675676,34.29111842105263,39.35885167464115,36.378625954198476,32.48516579406632,31.557692307692307,36.15614617940199,41.235897435897435,41.168,41.14418604651163,42.70373831775701,45.32980769230769,44.01601708489055,44.32919254658385,43.958651399491096,44.15845824411135,44.40401146131805,42.66217921750105,44.06100422336931,42.66767068273092,41.63445867287544,42.52949852507375,42.318812829104836,43.090062111801245,43.35468956406869,42.28269230769231,45.19054054054054,43.92265193370166,45.785471826205026,44.94807821982468,44.2074122236671,42.82904961147639,42.60448717948718,35.97324414715719,32.85529506871463,30.584241408214584,29.535211267605632,29.66199813258637,35.85769230769231,36.709072978303745,37.23474663908997,44.527389903329755,42.49046610169491,43.595615103532275,44.435049019607845,44.63681592039801,44.05041031652989,44.438026474127554,45.17589175891759,45.621067031463745,45.596354166666664,45.11079545454545,45.208809135399676,47.75471698113208,48.708154506437765,47.18089430894309,49.59273422562141,48.855670103092784,48.69650655021834,47.8561797752809,49.369346733668344,49.6390977443609,48.98746081504702,51.298507462686565,50.760147601476014,50.47565543071161,50
2Radar_3-8_2_2020;51.13846153846154,51.11764705882353,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,43.53033268101761,42.37362637362637,34.1881390593047,44.328155339805825,42.30349013657056,44.739988045427374,45.07587650444793,45.143365531265886,43.97082494969819,43.220970112689855,45.41771488469602,44.260367454068245,45.12587412587413,44.74053784860558,45.44841675178754,45.50205128205128,44.44739382239382,45.49727047146402,45.5065070275898,44.92831723436706,45.60306905370844,44.79930278884462,42.75760326827054,42.8561797752809,37.07173725151253,35.12843224092117,34.4270340077486,29.464788732394368,30.000911992704058,33.288978494623656,38.0637037037037,38.99946524064171,41.313776846516504,43.06102475532527,44.00683654443754,44.40792540792541,44.54120541205412,45.35643564356435,44.74825174825175,43.682038834951456,44.81710526315789,45.51846965699208,46.46110325318246,48.302405498281786,47.693805309734515,49.18214936247723,47.82194244604317,46.94301994301994,50.83980582524272,51.059322033898304,52.20886075949367,51.664556962025316,49.49664429530201,51.79661016949152,51.99264705882353,54.1140350877193,52.30555555555556,50
3Radar_16-21_3_2020;53.99173553719008,54.60344827586207,52.78787878787879,54.55263157894737,51.51685393258427,57.516666666666666,53.97435897435897,48.95,52.33898305084746,52.21568627450981,53.391304347826086,52.583333333333336,54.21621621621622,53.964285714285715,52.354838709677416,55.5,52.666666666666664,52.982142857142854,57.62264150943396,54.93333333333333,55.1,56.189473684210526,54.577358490566034,54.005714285714284,54.41541353383459,53.58575197889182,51.37865612648221,49.700055035773254,46.86506024096386,45.89195197865718,43.61384111384111,44.52414093083949,45.66116116116116,47.23977213878819,46.9432387312187,47.72415699281371,49.33292002479851,48.872920825016635,50.131986531986534,50.30759162303665,50.37796833773087,49.204713804713805,49.030116779348496,49.630529595015574,50.172611464968156,49.2488860598345,50.746297488731486,50.577473553204726,50.19924575738529,49.31147540983606,49.26508226691042,50.20351302241066,50.26155717761557,50.12091301665639,50.74367088607595,50.043843843843845,49.85343709468223,50.12128869235629,50.146794871794874,49.42848447961047,48.395936298736956,47.38699690402477,46.072916666666664,47.08629441624365,45.292,45.67456479690522,47.83275862068965,47.742241925269155,49.44847192608387,50.02667682926829,50.92232215862633,51.30883639545057,49.95761947700631,49.939769707705935,49.30018939393939,49.541079812206576,49.95374149659864,50.66414523449319,49.893039049235995,50.76305220883534,50.61233480176212,50.94660194174757,51.08407871198569,51.35496957403651,52.14229249011858,52.39120879120879,51.38747099767981,53.411311053984576,52.292682926829265,52.11963190184049,52.928825622775804,53.260504201680675,53.38095238095238,52.157303370786515,52.46666666666667,50
3Radar_2-7_3_2020;52.11029411764706,52.25316455696203,50.64556962025316,50.5609756097561,50.51315789473684,55.9,49.166666666666664,56.108108108108105,52.62222222222222,51.878787878787875,49.13333333333333,51.708333333333336,49.758620689655174,47.05555555555556,54.13636363636363,49.7,55.642857142857146,53.578947368421055,56.0,54.529411764705884,53.945945945945944,49.01162790697674,49.87,51.84033613445378,46.86708860759494,50.11392405063291,47.948640483383684,46.48936170212766,41.86319845857418,41.003649635036496,31.534686971235196,27.814595660749507,29.22012578616352,29.316831683168317,33.66137566137566,31.782229965156795,35.37676056338028,34.46283783783784,38.410404624277454,40.32796208530806,41.98943831012962,44.455227613806905,44.23153197818542,42.74214792299899,42.800601202404806,41.10659898477157,42.93336724313327,41.80123927550048,42.76790248857288,43.0650976464697,44.35233415233415,41.84225352112676,42.403720462543994,43.03103448275862,44.740421455938694,42.19121197489136,43.71514846502265,41.605850272682204,44.70030581039755,43.76128093158661,39.922222222222224,39.14917373827602,36.06991799741044,32.618238712561464,32.00599828620394,28.35236830455954,30.26705565529623,29.46732026143791,34.388429752066116,32.698507462686564,37.38400841662283,39.5996705107084,41.735276259866424,43.3569696969697,44.445125689760886,43.27149041434756,43.35392217418159,44.60486891385768,45.60678642714571,46.62091038406828,44.91061046511628,45.362257792754846,45.55396966993756,46.53818181818182,47.066732090284596,45.90251572327044,47.32690246516613,48.77434312210201,49.991334488734836,50.62350936967632,50.15049504950495,50.677215189873415,50.340425531914896,51.83471074380165,51.84090909090909,50
